CustomerID,Lookalikes
C0056,"C0101:1.0000, C0090:1.0000, C0045:1.0000"
C0057,"C0182:1.0000, C0053:1.0000, C0046:1.0000"
C0058,"C0150:1.0000, C0130:1.0000, C0020:1.0000"
C0059,"C0082:1.0000, C0188:1.0000, C0170:1.0000"
C0060,"C0151:0.9999, C0033:0.9999, C0097:0.9998"
C0061,"C0079:1.0000, C0103:1.0000, C0185:1.0000"
C0062,"C0030:1.0000, C0166:1.0000, C0008:1.0000"
C0063,"C0153:1.0000, C0125:1.0000, C0191:1.0000"
C0064,"C0127:1.0000, C0114:1.0000, C0037:1.0000"
C0065,"C0156:1.0000, C0068:1.0000, C0046:1.0000"
C0066,"C0040:1.0000, C0141:1.0000, C0044:1.0000"
C0067,"C0122:1.0000, C0102:1.0000, C0046:1.0000"
C0068,"C0156:1.0000, C0065:1.0000, C0018:1.0000"
C0069,"C0149:1.0000, C0127:1.0000, C0065:1.0000"
C0070,"C0068:1.0000, C0018:1.0000, C0156:1.0000"
C0071,"C0025:1.0000, C0076:1.0000, C0031:1.0000"
C0072,"C0195:1.0000, C0169:1.0000, C0039:1.0000"
C0073,"C0160:1.0000, C0038:1.0000, C0008:1.0000"
C0074,"C0016:1.0000, C0100:1.0000, C0051:1.0000"
C0075,"C0136:1.0000, C0008:1.0000, C0017:1.0000"
C0076,"C0147:1.0000, C0190:1.0000, C0036:1.0000"
C0077,"C0032:1.0000, C0094:1.0000, C0083:1.0000"
C0078,"C0044:1.0000, C0115:1.0000, C0196:1.0000"
C0079,"C0006:1.0000, C0185:1.0000, C0188:1.0000"
C0080,"C0007:1.0000, C0089:1.0000, C0123:1.0000"
C0081,"C0179:1.0000, C0024:1.0000, C0090:1.0000"
C0082,"C0188:1.0000, C0059:1.0000, C0099:1.0000"
C0083,"C0032:1.0000, C0077:1.0000, C0150:1.0000"
C0084,"C0017:1.0000, C0027:1.0000, C0161:1.0000"
C0085,"C0152:1.0000, C0118:1.0000, C0050:1.0000"
C0086,"C0008:1.0000, C0098:1.0000, C0166:1.0000"
C0087,"C0102:1.0000, C0099:1.0000, C0104:1.0000"
C0088,"C0027:1.0000, C0084:1.0000, C0161:1.0000"
C0089,"C0096:1.0000, C0079:1.0000, C0188:1.0000"
C0090,"C0045:1.0000, C0041:1.0000, C0179:1.0000"
C0091,"C0109:1.0000, C0144:1.0000, C0034:1.0000"
C0092,"C0105:1.0000, C0200:1.0000, C0173:1.0000"
C0093,"C0028:1.0000, C0143:1.0000, C0145:1.0000"
C0094,"C0049:1.0000, C0111:1.0000, C0121:1.0000"
C0095,"C0020:1.0000, C0129:1.0000, C0112:1.0000"
C0096,"C0016:1.0000, C0089:1.0000, C0188:1.0000"
C0097,"C0014:1.0000, C0121:1.0000, C0043:1.0000"
C0098,"C0169:1.0000, C0055:1.0000, C0113:1.0000"
C0099,"C0155:1.0000, C0013:1.0000, C0104:1.0000"
C0100,"C0051:1.0000, C0059:1.0000, C0170:1.0000"
C0101,"C0028:1.0000, C0093:1.0000, C0143:1.0000"
C0102,"C0122:1.0000, C0046:1.0000, C0067:1.0000"
C0103,"C0079:1.0000, C0185:1.0000, C0135:1.0000"
C0104,"C0099:1.0000, C0082:1.0000, C0122:1.0000"
C0105,"C0053:1.0000, C0182:1.0000, C0046:1.0000"
C0106,"C0161:1.0000, C0017:1.0000, C0162:1.0000"
C0107,"C0011:1.0000, C0184:1.0000, C0048:1.0000"
C0108,"C0139:1.0000, C0102:1.0000, C0104:1.0000"
C0109,"C0034:1.0000, C0134:1.0000, C0002:1.0000"
C0110,"C0128:1.0000, C0159:1.0000, C0106:1.0000"
C0111,"C0049:1.0000, C0121:1.0000, C0010:1.0000"
C0112,"C0192:1.0000, C0174:1.0000, C0191:1.0000"
C0113,"C0169:1.0000, C0008:1.0000, C0098:1.0000"
C0114,"C0170:1.0000, C0021:1.0000, C0059:1.0000"
C0115,"C0023:1.0000, C0141:1.0000, C0040:1.0000"
C0116,"C0189:1.0000, C0055:1.0000, C0024:1.0000"
C0117,"C0154:1.0000, C0188:1.0000, C0082:1.0000"
C0118,"C0048:1.0000, C0152:1.0000, C0184:1.0000"
C0119,"C0157:1.0000, C0172:1.0000, C0147:1.0000"
C0120,"C0191:1.0000, C0001:1.0000, C0011:1.0000"
C0121,"C0111:1.0000, C0094:1.0000, C0049:1.0000"
C0122,"C0046:1.0000, C0102:1.0000, C0067:1.0000"
C0123,"C0146:1.0000, C0103:1.0000, C0178:1.0000"
C0124,"C0017:1.0000, C0165:1.0000, C0075:1.0000"
C0125,"C0148:1.0000, C0107:1.0000, C0011:1.0000"
C0126,"C0013:1.0000, C0016:1.0000, C0183:1.0000"
C0127,"C0064:1.0000, C0046:1.0000, C0122:1.0000"
C0128,"C0110:1.0000, C0159:1.0000, C0080:1.0000"
C0129,"C0133:1.0000, C0120:1.0000, C0192:1.0000"
C0130,"C0150:1.0000, C0020:1.0000, C0095:1.0000"
C0131,"C0137:1.0000, C0001:1.0000, C0052:1.0000"
C0132,"C0098:1.0000, C0169:1.0000, C0039:1.0000"
C0133,"C0129:1.0000, C0195:1.0000, C0052:1.0000"
C0134,"C0109:1.0000, C0002:1.0000, C0034:1.0000"
C0135,"C0164:1.0000, C0122:1.0000, C0170:1.0000"
C0136,"C0075:1.0000, C0124:1.0000, C0142:1.0000"
C0137,"C0108:1.0000, C0001:1.0000, C0184:1.0000"
C0138,"C0054:1.0000, C0021:1.0000, C0114:1.0000"
C0139,"C0108:1.0000, C0102:1.0000, C0067:1.0000"
C0140,"C0007:1.0000, C0100:1.0000, C0051:1.0000"
C0141,"C0196:1.0000, C0040:1.0000, C0023:1.0000"
C0142,"C0027:1.0000, C0075:1.0000, C0088:1.0000"
C0143,"C0145:1.0000, C0173:1.0000, C0028:1.0000"
C0144,"C0091:1.0000, C0003:1.0000, C0031:1.0000"
C0145,"C0143:1.0000, C0173:1.0000, C0028:1.0000"
C0146,"C0064:1.0000, C0022:1.0000, C0007:1.0000"
C0147,"C0190:1.0000, C0181:1.0000, C0076:1.0000"
C0148,"C0163:1.0000, C0104:1.0000, C0102:1.0000"
C0149,"C0053:1.0000, C0182:1.0000, C0046:1.0000"
C0150,"C0058:1.0000, C0130:1.0000, C0083:1.0000"
C0151,"C0033:1.0000, C0060:0.9999, C0077:0.9999"
C0152,"C0118:1.0000, C0048:1.0000, C0085:1.0000"
C0153,"C0139:1.0000, C0102:1.0000, C0011:1.0000"
C0154,"C0117:1.0000, C0048:1.0000, C0188:1.0000"
C0155,"C0099:1.0000, C0183:1.0000, C0013:1.0000"
C0156,"C0068:1.0000, C0041:1.0000, C0065:1.0000"
C0157,"C0119:1.0000, C0003:1.0000, C0147:1.0000"
C0158,"C0187:1.0000, C0096:1.0000, C0168:1.0000"
C0159,"C0090:1.0000, C0045:1.0000, C0041:1.0000"
C0160,"C0038:1.0000, C0073:1.0000, C0113:1.0000"
C0161,"C0017:1.0000, C0106:1.0000, C0084:1.0000"
C0162,"C0175:1.0000, C0090:1.0000, C0017:1.0000"
C0163,"C0148:1.0000, C0104:1.0000, C0102:1.0000"
C0164,"C0122:1.0000, C0067:1.0000, C0046:1.0000"
C0165,"C0113:1.0000, C0004:1.0000, C0169:1.0000"
C0166,"C0086:1.0000, C0008:1.0000, C0098:1.0000"
C0167,"C0139:1.0000, C0135:1.0000, C0067:1.0000"
C0168,"C0050:1.0000, C0016:1.0000, C0187:1.0000"
C0169,"C0113:1.0000, C0039:1.0000, C0098:1.0000"
C0170,"C0114:1.0000, C0059:1.0000, C0021:1.0000"
C0171,"C0013:1.0000, C0188:1.0000, C0082:1.0000"
C0172,"C0047:1.0000, C0086:1.0000, C0098:1.0000"
C0173,"C0145:1.0000, C0143:1.0000, C0028:1.0000"
C0174,"C0035:1.0000, C0052:1.0000, C0039:1.0000"
C0175,"C0162:1.0000, C0017:1.0000, C0090:1.0000"
C0176,"C0030:1.0000, C0034:1.0000, C0147:1.0000"
C0177,"C0127:1.0000, C0093:1.0000, C0057:1.0000"
C0178,"C0200:1.0000, C0135:1.0000, C0022:1.0000"
C0179,"C0081:1.0000, C0041:1.0000, C0024:1.0000"
C0181,"C0190:1.0000, C0098:1.0000, C0169:1.0000"
C0182,"C0053:1.0000, C0057:1.0000, C0046:1.0000"
C0183,"C0155:1.0000, C0013:1.0000, C0099:1.0000"
C0184,"C0048:1.0000, C0107:1.0000, C0118:1.0000"
C0185,"C0079:1.0000, C0006:1.0000, C0187:1.0000"
C0186,"C0070:1.0000, C0056:1.0000, C0090:1.0000"
C0187,"C0185:1.0000, C0168:1.0000, C0158:1.0000"
C0188,"C0082:1.0000, C0059:1.0000, C0013:1.0000"
C0189,"C0055:1.0000, C0116:1.0000, C0039:1.0000"
C0190,"C0147:1.0000, C0181:1.0000, C0098:1.0000"
C0191,"C0001:1.0000, C0011:1.0000, C0120:1.0000"
C0192,"C0112:1.0000, C0129:1.0000, C0191:1.0000"
C0193,"C0101:1.0000, C0028:1.0000, C0093:1.0000"
C0194,"C0067:1.0000, C0024:1.0000, C0102:1.0000"
C0195,"C0039:1.0000, C0072:1.0000, C0169:1.0000"
C0196,"C0141:1.0000, C0066:1.0000, C0100:1.0000"
C0197,"C0199:1.0000, C0166:1.0000, C0047:1.0000"
C0198,"C0009:1.0000, C0107:1.0000, C0184:1.0000"
C0199,"C0197:1.0000, C0166:1.0000, C0047:1.0000"
C0200,"C0173:1.0000, C0145:1.0000, C0022:1.0000"
